StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.83372281,7,1,2,0,0,1,0,2.929195592,2
1002,18,0,0,1,15.40875606,0,0,1,0,0,0,0,3.042914833,1
1003,15,0,2,3,4.210569769,26,0,2,0,0,0,0,0.112602254,4
1004,17,1,0,3,10.02882947,14,0,3,1,0,0,0,2.05421814,3
1005,17,1,0,2,4.672495273,17,1,3,0,0,0,0,1.288061182,4
1006,18,0,0,1,8.191218545,0,0,1,1,0,0,0,3.084183614,1
1007,15,0,1,1,15.60168047,10,0,3,0,1,0,0,2.748237415,2
1008,15,1,1,4,15.42449631,22,1,1,1,0,0,0,1.360142712,4
1009,17,0,0,0,4.562007558,1,0,2,0,1,0,1,2.89681919,2
1010,16,1,0,1,18.44446636,0,0,3,1,0,0,0,3.57347421,0
1011,17,0,0,1,11.85136366,11,0,1,0,0,0,0,2.147171625,3
1012,17,0,0,1,7.598485819,15,0,2,0,0,0,1,1.559594519,4
1013,17,0,1,1,10.03871162,21,0,3,1,0,0,0,1.520077815,4
1014,17,0,1,2,12.10142507,21,0,4,0,1,0,0,1.751580958,4
1015,18,1,0,1,11.19781064,9,1,2,0,0,0,0,2.396788117,3
1016,15,0,0,2,9.728100711,17,1,0,0,1,0,0,1.341520717,4
1017,18,0,3,1,10.09865608,14,0,2,1,1,0,0,2.232175278,3
1018,18,1,0,0,3.528238209,16,1,2,0,0,0,0,1.384404176,4
1019,18,0,1,3,16.25465809,29,0,2,1,0,0,1,0.469553323,4
